observation_date,LNU05026645_CLF16OV
2009-06-01,0.51255
2009-07-01,0.51520
2009-08-01,0.49123
2009-09-01,0.45896
2009-10-01,0.52541
2009-11-01,0.55953
2009-12-01,0.60675
2010-01-01,0.69388
2010-02-01,0.78337
2010-03-01,0.64565
2010-04-01,0.77415
2010-05-01,0.70283
2010-06-01,0.78573
2010-07-01,0.77103
2010-08-01,0.72038
2010-09-01,0.78519
2010-10-01,0.79344
2010-11-01,0.83179
2010-12-01,0.85779
2011-01-01,0.64791
2011-02-01,0.66574
2011-03-01,0.60049
2011-04-01,0.64412
2011-05-01,0.53558
2011-06-01,0.64038
2011-07-01,0.73000
2011-08-01,0.63541
2011-09-01,0.67280
2011-10-01,0.62808
2011-11-01,0.71110
2011-12-01,0.61366
2012-01-01,0.68597
2012-02-01,0.65041
2012-03-01,0.55897
2012-04-01,0.62635
2012-05-01,0.53595
2012-06-01,0.52939
2012-07-01,0.54986
2012-08-01,0.54535
2012-09-01,0.51689
2012-10-01,0.52265
2012-11-01,0.63024
2012-12-01,0.68625
2013-01-01,0.51617
2013-02-01,0.56982
2013-03-01,0.51805
2013-04-01,0.53734
2013-05-01,0.50149
2013-06-01,0.65939
2013-07-01,0.63497
2013-08-01,0.55654
2013-09-01,0.54725
2013-10-01,0.52692
2013-11-01,0.49077
2013-12-01,0.59092
2014-01-01,0.53878
2014-02-01,0.48558
2014-03-01,0.44736
2014-04-01,0.50396
2014-05-01,0.44770
2014-06-01,0.43415
2014-07-01,0.47498
2014-08-01,0.49638
2014-09-01,0.44732
2014-10-01,0.49227
2014-11-01,0.44602
2014-12-01,0.47335
2015-01-01,0.43431
2015-02-01,0.46730
2015-03-01,0.47114
2015-04-01,0.48134
2015-05-01,0.35712
2015-06-01,0.41576
2015-07-01,0.42549
2015-08-01,0.39702
2015-09-01,0.40515
2015-10-01,0.42312
2015-11-01,0.37723
2015-12-01,0.41953
2016-01-01,0.39361
2016-02-01,0.37758
2016-03-01,0.36751
2016-04-01,0.35692
2016-05-01,0.33883
2016-06-01,0.31579
2016-07-01,0.37125
2016-08-01,0.36099
2016-09-01,0.34624
2016-10-01,0.30513
2016-11-01,0.37052
2016-12-01,0.26679
2017-01-01,0.33329
2017-02-01,0.32654
2017-03-01,0.28725
2017-04-01,0.28376
2017-05-01,0.22178
2017-06-01,0.32086
2017-07-01,0.33404
2017-08-01,0.27898
2017-09-01,0.26126
2017-10-01,0.32687
2017-11-01,0.29207
2017-12-01,0.29526
2018-01-01,0.28027
2018-02-01,0.23056
2018-03-01,0.27832
2018-04-01,0.25221
2018-05-01,0.23355
2018-06-01,0.22132
2018-07-01,0.31539
2018-08-01,0.26846
2018-09-01,0.23629
2018-10-01,0.31119
2018-11-01,0.27819
2018-12-01,0.22977
2019-01-01,0.26141
2019-02-01,0.26258
2019-03-01,0.25291
2019-04-01,0.27924
2019-05-01,0.20768
2019-06-01,0.26047
2019-07-01,0.22495
2019-08-01,0.28515
2019-09-01,0.19562
2019-10-01,0.20740
2019-11-01,0.19757
2019-12-01,0.16819
2020-01-01,0.21293
2020-02-01,0.25598
2020-03-01,0.31619
2020-04-01,0.37435
2020-05-01,0.37824
2020-06-01,0.42752
2020-07-01,0.43776
2020-08-01,0.34286
2020-09-01,0.34712
2020-10-01,0.36894
2020-11-01,0.41960
2020-12-01,0.41121
2021-01-01,0.39853
2021-02-01,0.33025
2021-03-01,0.30424
2021-04-01,0.35625
2021-05-01,0.34266
2021-06-01,0.39145
2021-07-01,0.33374
2021-08-01,0.22721
2021-09-01,0.25326
2021-10-01,0.28438
2021-11-01,0.29024
2021-12-01,0.28801
2022-01-01,0.25790
2022-02-01,0.23978
2022-03-01,0.20095
2022-04-01,0.29104
2022-05-01,0.23059
2022-06-01,0.23530
2022-07-01,0.28776
2022-08-01,0.20467
2022-09-01,0.28068
2022-10-01,0.22654
2022-11-01,0.26148
2022-12-01,0.25511
2023-01-01,0.21029
2023-02-01,0.21700
2023-03-01,0.18182
2023-04-01,0.23152
2023-05-01,0.23729
2023-06-01,0.19169
2023-07-01,0.22800
2023-08-01,0.21698
2023-09-01,0.20922
2023-10-01,0.25523
2023-11-01,0.27061
2023-12-01,0.20903
2024-01-01,0.27848
2024-02-01,0.25377
2024-03-01,0.17032
2024-04-01,0.22621
2024-05-01,0.26520
2024-06-01,0.21964
2024-07-01,0.26676
2024-08-01,0.20238
2024-09-01,0.25607
2024-10-01,0.22918
2024-11-01,0.25371
2024-12-01,0.29131
2025-01-01,0.36897
2025-02-01,0.27178
